idx,UID,district_coords,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,HSG,CEC,PH,OC,idx_matched,UID_matched,district_coords_matched,lat_matched,lon_matched,dist_closest_lin_matched,dist_closest_river_matched,dist_closest_road_matched,dist_closest_upstream_forest_matched,elevation_matched,slope_matched,flow_accumulation_matched,proximity_water_matched,drainage_density_matched,HSG_matched,CEC_matched,PH_matched,OC_matched
1085,1576,araria,26.1382624,87.6090827,-0.1757326637838081,-0.0468328836305098,-1.666544516846037,-0.3389955952573217,-0.7091881928712691,-0.7734865539313219,1.5484146104687715,0.1421947673486433,-0.6547573278576954,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,2948,4366,jamui,24.84322359,86.24621737,-0.2060744427928917,0.7249972797542075,0.7243980384023865,-1.0107617984593362,0.1852127263089428,0.2266906413814181,1.81240911986691,-0.5713812547448498,1.2546404720403754,3.0,-1.794622897305855,-1.429850515330716,-1.1755232335749537
1660,2445,siddharthnagar,27.34937747,83.1421197,0.3920268266230746,-0.912819947184094,0.97187648924066,-1.9244251033777249,0.0712057245352577,1.1712681167805814,-0.9528332996853937,-0.3870781986927445,0.2301044020539544,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,2948,4366,jamui,24.84322359,86.24621737,-0.2060744427928917,0.7249972797542075,0.7243980384023865,-1.0107617984593362,0.1852127263089428,0.2266906413814181,1.81240911986691,-0.5713812547448498,1.2546404720403754,3.0,-1.794622897305855,-1.429850515330716,-1.1755232335749537
6,12,bhagalpur,25.2565035,86.9380132,0.1081890840149206,-1.9938801011272524,-2.180361009844185,-1.9244251033777249,-0.9960534231756774,0.0511719145979833,-0.9528332996853937,1.6852922820595548,-0.2111438003681984,3.0,-0.4252806193568396,1.522115148824025,-1.0006086344757763,4014,5928,bahraich,27.49990121,81.83620797,2.024738189473468,0.0867149872546526,-0.5166168006876966,0.5726927381937897,0.5923727134878347,0.38963580837195,-0.2215186852153114,-1.4726767038296968,-0.945551815083796,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
7,15,bhagalpur,25.17343188,87.04992864,0.1182322178580308,1.1259524293160013,-1.023154914313806,0.0030746656630536,-0.960825406938774,-0.7664627608471,-0.2215186852153114,1.0557062557069907,0.6797805192725276,3.0,-0.7310282065467952,-1.429850515330716,0.1872550496601511,2753,4079,jamui,24.69122865,86.22061538,-0.1150091464608783,1.839794090676888,0.5265592769997729,2.052905889863592,1.5193103049091392,1.022897066001372,0.6371153785055804,-0.3814459797529872,2.1499072290263066,3.0,-1.794622897305855,-1.429850515330716,-1.1755232335749537
1084,1575,araria,26.1403584,87.6159925,-0.1584173906395025,-0.4615408668564603,-1.7935143008032397,0.0358302192852531,-0.7260340310444421,-0.6328456769808547,-0.9528332996853937,0.7373808009433256,-0.7615481960310159,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,2753,4079,jamui,24.69122865,86.22061538,-0.1150091464608783,1.839794090676888,0.5265592769997729,2.052905889863592,1.5193103049091392,1.022897066001372,0.6371153785055804,-0.3814459797529872,2.1499072290263066,3.0,-1.794622897305855,-1.429850515330716,-1.1755232335749537
1352,1961,gorakhpur,26.490515,83.283305,2.0265085285208624,0.3043506918069235,0.4706676706848408,0.0673158582051735,-0.0914484745090604,0.1773519662397443,-0.9528332996853937,-0.7493850342539464,-0.55689720247479,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,2753,4079,jamui,24.69122865,86.22061538,-0.1150091464608783,1.839794090676888,0.5265592769997729,2.052905889863592,1.5193103049091392,1.022897066001372,0.6371153785055804,-0.3814459797529872,2.1499072290263066,3.0,-1.794622897305855,-1.429850515330716,-1.1755232335749537
8,16,bhagalpur,25.1328837,87.1586199,-0.1969788748076679,0.9463888794597682,-1.7340438290224311,1.2610959370436303,-0.9400545712112686,-0.5492700490480336,0.1855435884480947,-0.9487363162649716,0.6486634155632197,3.0,-0.7310282065467952,-1.429850515330716,0.1872550496601511,6309,9228,jamui,25.02674941,86.31062657,-0.4959248778053288,1.922227463354647,0.7992189255326733,0.4119328378713247,0.6695406182195104,1.4177930164279928,-0.2215186852153114,0.4406367804510923,1.8081792238201764,3.0,-0.0690045146456619,-0.3082697191233647,-1.1168385657027713
426,618,jamui,24.5082897,86.4764254,-0.3094344936541307,-1.1932372514347265,0.0800806271088116,0.2476894026625533,3.4304792257678987,2.129993217275807,-0.9528332996853937,0.1695890018139516,1.8862626805274745,13.0,0.3419394424762882,-1.429850515330716,-1.1168385657027713,6309,9228,jamui,25.02674941,86.31062657,-0.4959248778053288,1.922227463354647,0.7992189255326733,0.4119328378713247,0.6695406182195104,1.4177930164279928,-0.2215186852153114,0.4406367804510923,1.8081792238201764,3.0,-0.0690045146456619,-0.3082697191233647,-1.1168385657027713
9,17,bhagalpur,25.11318,86.97264833,-0.4723750264115188,0.430182020178957,-1.1345950904265425,-0.1287499173991934,-0.8076001850587945,-0.7127663502244314,-0.9528332996853937,0.1135583279137343,0.978107258930743,13.0,-0.7310282065467952,-1.429850515330716,0.1872550496601511,5468,7983,darbhanga,25.99692991,86.04894733,-0.1128350239471481,-1.5180678552840354,-1.1235709488106718,0.641396954902311,-0.7116011101259818,0.8677213568379949,-0.2215186852153114,0.9673993410445256,0.3642818338928949,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1965,2907,basti,26.9599067,82.679735,0.280445288593355,1.0489832364375618,0.4153465849798037,-1.9244251033777249,0.0583141261453873,-0.2562519071798984,1.0515907317671025,0.0677908977404187,-0.7204900719624748,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,5468,7983,darbhanga,25.99692991,86.04894733,-0.1128350239471481,-1.5180678552840354,-1.1235709488106718,0.641396954902311,-0.7116011101259818,0.8677213568379949,-0.2215186852153114,0.9673993410445256,0.3642818338928949,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
