idx,Unnamed: 0,system:index,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,cropping_intensity_2016-2017,HSG,CEC,PH,OC,idx_matched,Unnamed: 0_matched,system:index_matched,lat_matched,lon_matched,dist_closest_lin_matched,dist_closest_river_matched,dist_closest_road_matched,dist_closest_upstream_forest_matched,elevation_matched,slope_matched,flow_accumulation_matched,proximity_water_matched,drainage_density_matched,cropping_intensity_2016-2017_matched,HSG_matched,CEC_matched,PH_matched,OC_matched
11,102,00000000000000000095,26.387698108694583,84.29708032396866,-0.1425755066984631,1.50229878054355,-1.3048542896904909,0.3618536088371541,-0.3502874921170942,-0.3119218895161949,-0.2397213236975746,0.0447355760354413,-0.4630419422667224,1.0,13.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,1627,8063,00000000000000002df7,24.93997215,87.13662748,-2.539998493458273,-0.3217039757989914,-0.0167477482540437,1.574787069484431,-0.5089895998801542,0.0839010232008926,-0.957141216802525,-0.8796312116945532,0.9914464545567796,1.0,3.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
333,1272,0000000000000000073b,26.75668872086723,83.49244445707646,-0.5461971755001485,-0.3414975237279359,-1.6080381576561704,1.3272846837503778,-0.0911823439410055,0.337313598727962,-0.957141216802525,-0.6049399752230337,-0.4607901277737816,2.0,13.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,1627,8063,00000000000000002df7,24.93997215,87.13662748,-2.539998493458273,-0.3217039757989914,-0.0167477482540437,1.574787069484431,-0.5089895998801542,0.0839010232008926,-0.957141216802525,-0.8796312116945532,0.9914464545567796,1.0,3.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
12,107,0000000000000000009b,26.405998259417927,84.23963818419817,-0.2171630754195695,0.4462869055675116,0.8552044850758134,-1.937199654678801,-0.3409205262707215,0.3248821206242667,1.0236509320942544,0.0168668692859043,0.5950603630529335,2.0,13.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,761,6680,00000000000000002cf6,26.09664291,87.90899896,0.0105191032824223,-0.4201630666146192,-0.1169051179716541,-0.1315032326810959,-0.7453160214898304,-0.1275804678902176,-0.957141216802525,0.8992962084776955,-0.9681221959454628,2.0,13.0,-1.273293395999669,-0.3093956135879935,-1.1310923864213274
37,257,0000000000000000017b,24.694885116673863,86.52035243640836,-1.0408311929313374,0.8361737234748406,1.1103027011505135,-1.937199654678801,2.954752271590198,0.3494274183960407,-0.957141216802525,0.3721840290661689,1.847019851261024,2.0,3.0,-0.1204886089480217,-0.3093956135879935,0.949576401386244,761,6680,00000000000000002cf6,26.09664291,87.90899896,0.0105191032824223,-0.4201630666146192,-0.1169051179716541,-0.1315032326810959,-0.7453160214898304,-0.1275804678902176,-0.957141216802525,0.8992962084776955,-0.9681221959454628,2.0,13.0,-1.273293395999669,-0.3093956135879935,-1.1310923864213274
13,119,000000000000000000ad,26.498457719761127,84.47471307353374,-0.3542876625991339,0.8534812275153878,0.4335373540694225,-1.937199654678801,-0.3394151124184785,-0.5906359848252033,-0.957141216802525,1.0943938373256237,-0.8501629553818298,2.0,13.0,-0.4857426196775113,1.5040166281390692,-1.0180653183049686,1465,7939,00000000000000002d3c,26.54292594,85.16123217,-1.1521814003322646,-0.033063573213013,0.0066936612782146,-1.0262769406890906,-0.4289374343304459,-0.6342858142496076,-0.957141216802525,-1.4965577258904117,-0.4738813708612447,2.0,13.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
14,125,000000000000000000b8,26.35608308222565,84.4764209092372,0.4259533002043091,2.211243430852456,-2.084680164059677,0.3026629718604201,-0.3812152060108313,-0.508739816462325,0.423463981894162,0.3782228590803172,-0.7360143371513591,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,1364,8199,00000000000000002ebb,26.30738767,86.43270762,0.1856434533511544,0.2681221938722593,-0.6079219994596788,-1.937199654678801,-0.5820376714182602,0.4124969852958479,1.715335019873736,-0.4643877059487308,0.5661076787807229,1.0,3.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
15,126,000000000000000000b9,26.392991061645027,84.50127147940805,0.1351245189209763,2.045155482522933,0.4360490833374257,0.2852276475968712,-0.3602472361724319,-0.2245700148460842,-0.957141216802525,0.897659711605937,0.6071514092036209,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,433,6205,000000000000000023a0,26.43997901,87.87046123,-0.0017819571548505,1.024826399423363,-1.319705170788683,-0.6286743288688607,-0.2048916950424083,-0.0121445509999849,0.423463981894162,-0.1851210577142241,-0.2087057579481065,3.0,3.0,-1.8394454808364664,-0.0939621284033118,-1.1310923864213274
16,129,000000000000000000bc,26.33244092844028,84.73081708343734,-0.0174471575719161,0.9060404696408336,0.5062725092622996,-0.2881589736982925,-0.4356016672956159,-0.4839088216101784,1.2638657204231434,-0.2088641434579869,-0.3723385253586138,2.0,13.0,-0.4857426196775113,1.5040166281390692,-1.0180653183049686,1593,4220,00000000000000001840,27.09323388,83.40924787,1.9893699223260184,-0.7928589307774988,1.4112699043376875,-0.1472251245847647,-0.0860556951953551,0.1224802864741401,-0.957141216802525,1.0919110670574437,0.6036735763448525,2.0,3.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
17,131,000000000000000000c1,26.2750745933877,84.69752989407337,-0.2291649109760406,0.664989642408975,0.5227494810842406,-0.6883795388259583,-0.4821790392128612,-0.7755691741368594,-0.957141216802525,-1.4112291474881982,-0.5286234108853342,1.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,1630,6450,00000000000000002509,26.29984183,85.06879552,-0.6495020882344976,1.1827947403109489,-1.357052267164477,-1.937199654678801,-0.5186084944103669,-0.5495585491280062,-0.2397213236975746,1.118088910272435,-0.3695098148262715,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
18,142,000000000000000000d1,24.936572852871688,85.96317438247712,-0.4865070273113224,2.830654776779405,-0.4199833172680416,-0.2474658918934112,-0.4113914296920176,0.3234853975792417,-0.957141216802525,-1.0650796031610597,0.7095399422442021,2.0,13.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768,1625,6201,0000000000000000239a,26.36613749,87.85321358,-0.5884725867354007,1.104469969169743,0.1051080955103924,-1.937199654678801,-0.4243221835512413,0.1384516902603171,0.7500509246967876,-1.3642829250221276,-0.0454798348126129,2.0,3.0,-1.8394454808364664,-0.0939621284033118,-1.1310923864213274
