idx,UID,Treatment,district_coords,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,HSG,CEC,PH,OC
1861,2751,1,bahraich,27.2776723,81.8180763,2.0251348378325003,0.5312026646948914,-2.3643202147221896,-0.08553797592153144,0.564061730925842,-0.12636502436262878,-0.9528332996853937,-1.6257972795754563,-0.5629681110493548,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1862,2752,1,bahraich,27.32249287,81.91235968,2.02505520045779,-0.09408422098135234,-2.2780367367103826,0.9990180503125214,0.47574672791115474,0.26289119338077305,0.8884679919307219,-0.6515307272344695,0.2683082378036379,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1863,2753,1,bahraich,27.3730998,81.8924703,2.0249646527412475,0.9679352202905633,-2.1276770819332658,-0.8545540096967551,0.5433497897878693,0.018578244737296783,-0.9528332996853937,-0.32491811080193633,-0.2731820527597417,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1864,2754,1,bahraich,27.34979312,81.89729472,2.025006633295342,0.6745026164905883,-1.6246668299954161,0.8883546198938689,0.5417135740220071,-0.1372041018453471,0.778033731487533,-1.0179786612919264,-1.0064753421798267,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1865,2755,1,bahraich,27.422829,81.8675884,2.0248759658203976,0.24706666973540367,-0.6711663067957621,-0.6184045648094249,0.5294686498532799,0.47890867834152917,0.18554358844809477,0.1554179764875406,-0.6400745655697893,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1866,2756,1,bahraich,27.42152833,81.87062,2.02487853209479,0.3658973981919297,-2.299375539336233,-1.9244251033777249,0.5521771196501063,0.19734243050199374,0.8884679919307219,-0.2215726954839192,-0.766611599985259,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1867,2758,1,bahraich,27.3936502,81.8827979,2.024928273907376,0.928806675804149,-1.8592061991776971,-0.6783862674039052,0.5920129900630035,0.3230127513042461,-0.9528332996853937,0.12083968811168194,-1.4579206005390386,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1868,2759,1,bahraich,27.46965655,81.88764708,2.0247922348985625,0.02735284557395243,-1.9610464830160141,0.23346667597271922,0.577462615597512,-0.0315884031190766,-0.22151868521531146,-1.2394987139642497,-0.49372296551592926,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1869,2760,1,bahraich,27.32236175,81.76359209,2.02505520045779,0.8336115248725194,-0.5454859295228197,0.37243508390028857,0.4566584144176799,-0.8898130525435589,0.778033731487533,0.14452364159487807,-1.467441981359166,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1870,2762,1,bahraich,27.37088141,81.90153222,2.0249687476223523,1.1745387621183452,-1.060878097106674,0.19058483951766872,0.5278654174231091,-0.43666078214712245,-0.9528332996853937,-0.15468144422436558,-0.37245453324342903,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1871,2766,1,bahraich,27.2984834,81.6728401,2.0250975943205005,-0.14993972338568975,-0.1177228123210828,0.35748241161192135,0.4432419616422852,-0.9775678850943593,1.9545657826590213,0.3689671675520977,-1.0652572287205488,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1872,2767,1,bahraich,27.2970562,81.5477728,2.025100142216003,0.6521897937279487,-0.09602824979858576,0.6943176995773939,0.4908330575804827,-0.0984933377851571,-0.9528332996853937,-0.37911262905757026,-1.771307223480657,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1873,2768,1,bahraich,27.2679875,81.5793456,2.0251516661825995,-0.7076471256134225,1.0212442953699055,0.9924487412141272,0.4303710088467034,-0.8909283135899696,-0.9528332996853937,-0.9217205294516775,0.3798195886338263,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1874,2770,1,bahraich,27.3462106,81.5752308,2.0250127666304842,-0.4924305600501961,0.8358736315280334,0.8573397769087949,0.479985021264362,-0.8002764784706662,-0.9528332996853937,-1.7896690635151147,-2.364696018100778,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1875,2772,1,bahraich,27.26715212,81.5227167,2.025153194652649,-0.031117445257034068,1.3212815985946278,0.414815045439361,0.4321724523458815,-0.3929322180844961,-0.9528332996853937,0.015921427275282236,-2.888489351360775,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1876,2773,1,bahraich,27.29715167,81.52999333,2.025100142216003,0.7208857408255543,0.2642938575117045,-0.6181014761878746,0.514478030996282,0.6926647196463571,-0.9528332996853937,0.7570763353517459,-0.1561257292531205,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1877,2774,1,bahraich,27.34643394,81.51861452,2.0250122567559026,-0.14292650318027564,-2.026678612578054,-0.6782753426869476,0.5049585483882858,-0.5920517356414262,-0.9528332996853937,-1.4398504528349811,-1.6896993492345629,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1878,2775,1,bahraich,27.3118011,81.5173148,2.0250741049579366,0.3599982249206151,0.42901882053406476,-0.6181367033672439,0.46569378429847624,-0.23119447265995058,0.18554358844809477,-0.950776103773278,0.526508564088069,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
1879,2776,1,bahraich,27.4097609,81.6134297,2.024899571097396,0.4028267355757164,-0.42496257556889905,0.5102426383373849,0.45168065533846186,-0.7953754422664592,1.9327746667216537,1.0742421394402886,0.8497363812430543,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
