UID,Treatment,lat,lon
3116,0,27.08892197,82.87160617
3117,0,27.25385266,82.97158866
3118,0,27.22447775,82.9246966
3119,0,27.20642161,82.89559119
3120,0,27.13177161,83.10471899
3121,0,27.13581403,83.10822242
3122,0,27.28295807,82.90825743
3123,0,27.19995374,82.85732296
3124,0,27.20669111,82.97832603
3125,0,27.23633551,82.91768974
3126,0,27.1471328,83.02818252
3127,0,27.25546963,82.96377332
3128,0,27.18162811,82.94059678
3129,0,27.09188641,82.78698487
3130,0,27.23444905,82.98641086
3131,0,27.22474724,82.91176086
3132,0,27.12907666,82.8352244
3133,0,27.28403605,82.93844083
3134,0,27.16303298,83.00904841
3135,0,27.2519662,82.96053938
3136,0,27.21962685,82.94086628
3137,0,27.13204111,83.0990596
3138,0,27.11371547,82.77674408
3139,0,27.24522883,82.87106718
3140,0,27.10077973,83.08827982
3141,0,27.06574544,82.9346679
3142,0,27.22151331,82.96781574
3143,0,27.21019453,82.95191556
3144,0,27.16653641,82.82067169
3145,0,27.23444905,82.91876772
3146,0,27.12449526,83.11037837
3147,0,27.20480464,82.85705346
3148,0,27.16114652,83.01255184
3149,0,27.11641042,83.12978198
3150,0,27.24711529,82.96835473
3151,0,27.14335988,82.98317693
3152,0,27.187018,82.83333794
3153,0,27.23256259,82.9198457
3154,0,27.05927757,82.92604408
3155,0,27.11802739,83.13005148
3156,0,27.17623822,82.84789065
3157,0,27.06520645,82.93089498
3158,0,27.07868118,83.01093487
3159,0,27.20507414,82.84465671
3160,0,27.08514905,82.90152007
3161,0,27.20776908,82.95218505
3162,0,27.16087703,82.82067169
3163,0,27.11910536,83.0292605
3164,0,27.13473605,83.03842332
3165,0,27.11398497,83.01039588
3166,0,27.02666872,82.94895112
3167,0,27.06170302,82.94113577
3168,0,27.11075103,82.75868794
3169,0,27.14443786,83.0987901
3170,0,27.16033804,83.0095874
3171,0,27.14928876,83.01713325
3172,0,27.09781529,82.83145148
3173,0,27.14282089,82.88669787
3174,0,27.20237919,82.84762115
3175,0,27.15521764,82.82067169
3176,0,27.03178912,82.94787314
3177,0,27.25223569,82.8451957
3178,0,27.23337107,82.90906592
3179,0,27.19564183,82.99638216
3180,0,27.18459255,82.82983451
3181,0,27.07113533,82.94868162
3182,0,27.10077973,83.01982819
3183,0,27.07922017,82.7956087
3184,0,27.13796999,83.11253433
3185,0,27.12368677,82.94410021
3186,0,27.21935735,82.93574588
3187,0,27.13770049,83.01497729
3188,0,27.03071114,82.94733415
3189,0,27.09619833,82.82794805
3190,0,27.09565934,82.82363613
3191,0,27.26059002,82.83576339
3192,0,27.10643912,83.07372711
3193,0,27.14551583,83.02548758
3194,0,27.20642161,82.92900852
3195,0,27.22043533,82.94679516
3196,0,27.10913407,82.75760996
3197,0,27.12557324,83.10930039
3198,0,27.17893316,82.80908343
3199,0,27.16545843,82.80315454
3200,0,27.12503425,82.94140527
3201,0,27.12880717,82.83387693
3202,0,27.16626692,82.95784444
3203,0,27.22528623,82.97886501
3204,0,27.21019453,82.95164606
3205,0,27.25250518,82.95514949
3206,0,27.21585392,82.97239714
3207,0,27.14767179,83.01875021
3208,0,27.11694941,83.06941519
3209,0,27.11829688,82.94356122
3210,0,27.07436926,82.8252531
3211,0,27.12557324,82.94032729
3212,0,27.212081,82.9546105
3213,0,27.15117522,82.79102729
3214,0,27.20291818,82.85759245
3215,0,27.12206981,83.10552747
3216,0,27.16276349,83.0144383
3217,0,27.2118115,82.94922061
3218,0,27.12826818,83.11118686
3219,0,27.18108912,82.79749516
3220,0,27.15602612,82.82094119
3221,0,27.08326259,82.78887133
3222,0,27.21396746,82.97859552
3223,0,27.18108912,82.82713956
3224,0,27.17165681,82.80234606
3225,0,27.13015464,83.10930039
3226,0,27.2069606,82.89397422
3227,0,27.20561313,82.95137657
3228,0,27.11560194,82.9098744
3229,0,27.28376656,82.93924931
3230,0,27.14174291,83.02494859
3231,0,27.16896186,82.8204022
3232,0,27.17542973,82.84196177
3233,0,27.17057883,82.82067169
3234,0,27.14794129,82.88535039
3235,0,27.25924255,82.8352244
3236,0,27.27083082,82.94167476
3237,0,27.09646782,82.97428361
3238,0,27.09404237,82.78779335
3239,0,27.25250518,82.97832603
3240,0,27.23040663,82.9198457
3241,0,27.22393876,82.83980581
3242,0,27.09538984,82.79129678
3243,0,27.10509165,82.76273036
3244,0,27.21342847,82.97428361
3245,0,27.16869237,82.81959371
3246,0,27.11506295,82.77728306
3247,0,27.10913407,82.77647458
3248,0,27.25358316,82.97078018
3249,0,27.11614092,83.12466158
3250,0,27.14605482,83.02602657
3251,0,27.14362937,82.99368722
3252,0,27.20803858,82.97751754
3253,0,27.20669111,82.89532169
3254,0,27.13042414,83.10256303
3255,0,27.13581403,83.08612386
3256,0,27.0625115,82.93385942
3257,0,27.14848027,83.01659426
3258,0,27.23013713,82.91849823
3259,0,27.16114652,83.10444949
