      station_name       station_id  water_level (in m)        lat       long
4      Bhagwanpura  252928075021201               11.30  25.491111  75.036667
5            BIGOD  251440075023001                7.77  25.244444  75.041667
6          BIJOLIA  251012075192201                5.63  25.170000  75.322778
7           BORANI  254100075200001               16.89  25.683333  75.333333
8        Dahimatha  253140074180301               22.75  25.527778  74.300833
9       Daulatgarh  253800074164501               13.70  25.633333  74.279167
10         DEVARIA  251700074093001               25.20  25.283333  74.158333
11          GAGEDA  255200074330001                5.99  25.866667  74.550000
12        Galodiya  251143074173901               15.10  25.195278  74.294167
13       GANGAPUR1  251300074153501               15.38  25.216667  74.259722
14       GULABPURA  255400074410001                4.01  25.900000  74.683333
15      GULABPURA1  253820075065501               11.60  25.638889  75.115278
16       HAMIRGARH  251050074345001               20.49  25.180556  74.580556
17        JAHAJPUR  253715075163001                8.10  25.620833  75.275000
18      JIWANLIYAN  253056074332801               14.40  25.515556  74.557778
19    KANCHAN-KALA  254520074542001                6.70  25.755556  74.905556
20          Karera  253100074160001               18.19  25.516667  74.266667
21        KODUKOTA  252230074463001               20.95  25.375000  74.775000
22          KOTARI  252350074533001               11.17  25.397222  74.891667
23         Ladpura  250915075071701                4.98  25.154167  75.121389
24     MANDALGARH1  251700075053801               24.80  25.283333  75.093889
25     MANDAPIA RS  251610074381501               16.40  25.269444  74.637500
26        NANGPURA  252715074111501               16.68  25.454167  74.187500
27          PAROLI  253104075053001                5.10  25.517778  75.091667
28       PITAKHERA  252226074063001               19.00  25.373889  74.108333
29      RAILA ROAD  253800074360001               14.45  25.633333  74.600000
30          Raipur  252413074094001                8.50  25.403611  74.161111
31       SALAWATIA  250650075154001               23.80  25.113889  75.261111
32        SAWAIPUR  251825074520001               15.65  25.306944  74.866667
33          SOPURA  253615074540001                9.28  25.604167  74.900000
34         SUWANA1  252100074420001               22.50  25.350000  74.700000
35  Taswaria Khurd  253340074480001               14.65  25.561111  74.800000
36          TILOLI  253551074184801               14.25  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.01  25.720833  75.354167
1           BADNOR  255000074170001               11.19  25.833333  74.283333
2     BANERAMATAJI  252915074420001               13.25  25.487500  74.700000
3          BARASNI  254530074280001                9.32  25.758333  74.466667
4      Bhagwanpura  252928075021201                6.20  25.491111  75.036667
5          BIJOLIA  251012075192201                2.68  25.170000  75.322778
6           BORANI  254100075200001                5.82  25.683333  75.333333
7        Dahimatha  253140074180301               14.07  25.527778  74.300833
8       Daulatgarh  253800074164501                6.82  25.633333  74.279167
9          DEVARIA  251700074093001               23.95  25.283333  74.158333
10          GAGEDA  255200074330001                4.61  25.866667  74.550000
11       GANGAPUR1  251300074153501                6.28  25.216667  74.259722
12       GULABPURA  255400074410001                2.55  25.900000  74.683333
13      GULABPURA1  253820075065501               11.70  25.638889  75.115278
14        JAHAJPUR  253715075163001                2.93  25.620833  75.275000
15      JIWANLIYAN  253056074332801                3.30  25.515556  74.557778
16    KANCHAN-KALA  254520074542001                0.23  25.755556  74.905556
17          Karera  253100074160001               14.87  25.516667  74.266667
18        KODUKOTA  252230074463001                9.55  25.375000  74.775000
19          KOTARI  252350074533001               12.57  25.397222  74.891667
20         Ladpura  250915075071701                2.83  25.154167  75.121389
21     MANDALGARH1  251700075053801                8.40  25.283333  75.093889
22     MANDAPIA RS  251610074381501                8.90  25.269444  74.637500
23        NANGPURA  252715074111501               14.08  25.454167  74.187500
24          PAROLI  253104075053001                3.32  25.517778  75.091667
25       PITAKHERA  252226074063001                4.77  25.373889  74.108333
26      RAILA ROAD  253800074360001                8.35  25.633333  74.600000
27          Raipur  252413074094001                3.84  25.403611  74.161111
28       SALAWATIA  250650075154001                7.20  25.113889  75.261111
29        SAWAIPUR  251825074520001               14.45  25.306944  74.866667
30          SOPURA  253615074540001                9.18  25.604167  74.900000
31         SUWANA1  252100074420001                6.32  25.350000  74.700000
32  Taswaria Khurd  253340074480001               14.65  25.561111  74.800000
33          TILOLI  253551074184801                1.37  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                2.10  25.720833  75.354167
1           BADNOR  255000074170001                8.25  25.833333  74.283333
2     BANERAMATAJI  252915074420001               14.03  25.487500  74.700000
3          BARASNI  254530074280001                9.95  25.758333  74.466667
4      Bhagwanpura  252928075021201                8.75  25.491111  75.036667
5            BIGOD  251440075023001                7.77  25.244444  75.041667
6          BIJOLIA  251012075192201                3.61  25.170000  75.322778
7           BORANI  254100075200001               11.20  25.683333  75.333333
8        Dahimatha  253140074180301               15.87  25.527778  74.300833
9       Daulatgarh  253800074164501               10.26  25.633333  74.279167
10         DEVARIA  251700074093001               20.53  25.283333  74.158333
11          GAGEDA  255200074330001                5.95  25.866667  74.550000
12        Galodiya  251143074173901               10.80  25.195278  74.294167
13       GANGAPUR1  251300074153501                8.88  25.216667  74.259722
14       GULABPURA  255400074410001                3.28  25.900000  74.683333
15      GULABPURA1  253820075065501               10.13  25.638889  75.115278
16       HAMIRGARH  251050074345001               20.49  25.180556  74.580556
17        JAHAJPUR  253715075163001                5.84  25.620833  75.275000
18      JIWANLIYAN  253056074332801                8.85  25.515556  74.557778
19    KANCHAN-KALA  254520074542001                3.66  25.755556  74.905556
20          Karera  253100074160001               16.53  25.516667  74.266667
21        KODUKOTA  252230074463001               15.25  25.375000  74.775000
22          KOTARI  252350074533001                9.87  25.397222  74.891667
23         Ladpura  250915075071701                3.50  25.154167  75.121389
24     MANDALGARH1  251700075053801               16.60  25.283333  75.093889
25     MANDAPIA RS  251610074381501               10.20  25.269444  74.637500
26        NANGPURA  252715074111501               14.23  25.454167  74.187500
27          PAROLI  253104075053001                3.76  25.517778  75.091667
28       PITAKHERA  252226074063001               11.89  25.373889  74.108333
29      RAILA ROAD  253800074360001                8.75  25.633333  74.600000
30          Raipur  252413074094001                4.45  25.403611  74.161111
31       SALAWATIA  250650075154001               15.80  25.113889  75.261111
32        SAWAIPUR  251825074520001               12.95  25.306944  74.866667
33          SOPURA  253615074540001                7.65  25.604167  74.900000
34         SUWANA1  252100074420001               11.26  25.350000  74.700000
35  Taswaria Khurd  253340074480001               11.72  25.561111  74.800000
36          TILOLI  253551074184801                6.19  25.597500  74.313333












      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                4.08  25.833333  74.283333
1          BARASNI  254530074280001                6.88  25.758333  74.466667
2          BIJOLIA  251012075192201                5.13  25.170000  75.322778
3           BORANI  254100075200001               17.19  25.683333  75.333333
4        Dahimatha  253140074180301               16.95  25.527778  74.300833
5          DEVARIA  251700074093001               21.30  25.283333  74.158333
6           GAGEDA  255200074330001               13.67  25.866667  74.550000
7         Galodiya  251143074173901               14.00  25.195278  74.294167
8        GANGAPUR1  251300074153501                6.68  25.216667  74.259722
9       GULABPURA1  253820075065501                5.70  25.638889  75.115278
10        JAHAJPUR  253715075163001                7.80  25.620833  75.275000
11    KANCHAN-KALA  254520074542001                6.90  25.755556  74.905556
12          KOTARI  252350074533001                8.37  25.397222  74.891667
13         Ladpura  250915075071701                4.20  25.154167  75.121389
14     MANDAPIA RS  251610074381501               11.30  25.269444  74.637500
15        NANGPURA  252715074111501               29.68  25.454167  74.187500
16          PAROLI  253104075053001                3.25  25.517778  75.091667
17      RAILA ROAD  253800074360001                8.30  25.633333  74.600000
18          Raipur  252413074094001                6.70  25.403611  74.161111
19       SALAWATIA  250650075154001               24.50  25.113889  75.261111
20        SAWAIPUR  251825074520001               13.75  25.306944  74.866667
21          SOPURA  253615074540001                7.68  25.604167  74.900000
22         SUWANA1  252100074420001               12.50  25.350000  74.700000
23  Taswaria Khurd  253340074480001               12.75  25.561111  74.800000
24          TILOLI  253551074184801                2.55  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                3.74  25.833333  74.283333
1          BARASNI  254530074280001                8.36  25.758333  74.466667
2          BIJOLIA  251012075192201                5.01  25.170000  75.322778
3           BORANI  254100075200001               16.25  25.683333  75.333333
4        Dahimatha  253140074180301               17.25  25.527778  74.300833
5          DEVARIA  251700074093001               18.19  25.283333  74.158333
6           GAGEDA  255200074330001               13.57  25.866667  74.550000
7         Galodiya  251143074173901               12.98  25.195278  74.294167
8        GANGAPUR1  251300074153501                7.99  25.216667  74.259722
9       GULABPURA1  253820075065501                4.22  25.638889  75.115278
10        JAHAJPUR  253715075163001                9.27  25.620833  75.275000
11    KANCHAN-KALA  254520074542001                5.66  25.755556  74.905556
12          KOTARI  252350074533001                8.75  25.397222  74.891667
13         Ladpura  250915075071701                8.48  25.154167  75.121389
14     MANDAPIA RS  251610074381501               12.64  25.269444  74.637500
15        NANGPURA  252715074111501               23.52  25.454167  74.187500
16          PAROLI  253104075053001                2.83  25.517778  75.091667
17      RAILA ROAD  253800074360001                8.29  25.633333  74.600000
18          Raipur  252413074094001                6.54  25.403611  74.161111
19       SALAWATIA  250650075154001               20.27  25.113889  75.261111
20        SAWAIPUR  251825074520001               10.90  25.306944  74.866667
21          SOPURA  253615074540001                6.21  25.604167  74.900000
22         SUWANA1  252100074420001                7.85  25.350000  74.700000
23  Taswaria Khurd  253340074480001               12.93  25.561111  74.800000
24          TILOLI  253551074184801                3.94  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                2.30  25.833333  74.283333
1          BARASNI  254530074280001                1.43  25.758333  74.466667
2          BIJOLIA  251012075192201                3.06  25.170000  75.322778
3           BORANI  254100075200001               12.49  25.683333  75.333333
4        Dahimatha  253140074180301               10.94  25.527778  74.300833
5          DEVARIA  251700074093001                7.85  25.283333  74.158333
6           GAGEDA  255200074330001                2.89  25.866667  74.550000
7         Galodiya  251143074173901                7.07  25.195278  74.294167
8        GANGAPUR1  251300074153501                3.38  25.216667  74.259722
9       GULABPURA1  253820075065501                1.15  25.638889  75.115278
10        JAHAJPUR  253715075163001                7.35  25.620833  75.275000
11    KANCHAN-KALA  254520074542001                2.47  25.755556  74.905556
12          KOTARI  252350074533001                3.37  25.397222  74.891667
13         Ladpura  250915075071701                5.05  25.154167  75.121389
14     MANDAPIA RS  251610074381501                6.14  25.269444  74.637500
15        NANGPURA  252715074111501                5.29  25.454167  74.187500
16          PAROLI  253104075053001                1.58  25.517778  75.091667
17      RAILA ROAD  253800074360001                2.55  25.633333  74.600000
18          Raipur  252413074094001                1.01  25.403611  74.161111
19       SALAWATIA  250650075154001               10.43  25.113889  75.261111
20        SAWAIPUR  251825074520001                1.84  25.306944  74.866667
21          SOPURA  253615074540001                2.03  25.604167  74.900000
22         SUWANA1  252100074420001                0.59  25.350000  74.700000
23  Taswaria Khurd  253340074480001                4.60  25.561111  74.800000
24          TILOLI  253551074184801                0.35  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                3.98  25.833333  74.283333
1          BARASNI  254530074280001               11.43  25.758333  74.466667
2          BIJOLIA  251012075192201                5.53  25.170000  75.322778
3           BORANI  254100075200001               16.74  25.683333  75.333333
4        Dahimatha  253140074180301               19.55  25.527778  74.300833
5          DEVARIA  251700074093001               19.75  25.283333  74.158333
6           GAGEDA  255200074330001               18.24  25.866667  74.550000
7         Galodiya  251143074173901               14.55  25.195278  74.294167
8        GANGAPUR1  251300074153501                9.73  25.216667  74.259722
9       GULABPURA1  253820075065501                5.80  25.638889  75.115278
10        JAHAJPUR  253715075163001               12.65  25.620833  75.275000
11    KANCHAN-KALA  254520074542001                5.90  25.755556  74.905556
12          KOTARI  252350074533001               11.07  25.397222  74.891667
13         Ladpura  250915075071701               11.85  25.154167  75.121389
14     MANDAPIA RS  251610074381501               15.80  25.269444  74.637500
15        NANGPURA  252715074111501               28.33  25.454167  74.187500
16          PAROLI  253104075053001                3.15  25.517778  75.091667
17      RAILA ROAD  253800074360001               10.75  25.633333  74.600000
18          Raipur  252413074094001                8.65  25.403611  74.161111
19       SALAWATIA  250650075154001               21.65  25.113889  75.261111
20        SAWAIPUR  251825074520001               13.75  25.306944  74.866667
21          SOPURA  253615074540001                7.23  25.604167  74.900000
22         SUWANA1  252100074420001                8.15  25.350000  74.700000
23  Taswaria Khurd  253340074480001               16.50  25.561111  74.800000
24          TILOLI  253551074184801                5.90  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                4.58  25.833333  74.283333
1          BARASNI  254530074280001               13.68  25.758333  74.466667
2          BIJOLIA  251012075192201                6.33  25.170000  75.322778
3           BORANI  254100075200001               18.59  25.683333  75.333333
4        Dahimatha  253140074180301               21.55  25.527778  74.300833
5          DEVARIA  251700074093001               23.85  25.283333  74.158333
6           GAGEDA  255200074330001               19.49  25.866667  74.550000
7         Galodiya  251143074173901               16.30  25.195278  74.294167
8        GANGAPUR1  251300074153501               12.18  25.216667  74.259722
9     KANCHAN-KALA  254520074542001                7.35  25.755556  74.905556
10          KOTARI  252350074533001               12.17  25.397222  74.891667
11         Ladpura  250915075071701               12.80  25.154167  75.121389
12     MANDAPIA RS  251610074381501               17.30  25.269444  74.637500
13        NANGPURA  252715074111501               30.78  25.454167  74.187500
14          PAROLI  253104075053001                3.35  25.517778  75.091667
15      RAILA ROAD  253800074360001               11.55  25.633333  74.600000
16          Raipur  252413074094001                9.80  25.403611  74.161111
17       SALAWATIA  250650075154001               24.50  25.113889  75.261111
18        SAWAIPUR  251825074520001               14.25  25.306944  74.866667
19          SOPURA  253615074540001                7.88  25.604167  74.900000
20         SUWANA1  252100074420001               10.15  25.350000  74.700000
21  Taswaria Khurd  253340074480001               17.85  25.561111  74.800000
22          TILOLI  253551074184801                6.95  25.597500  74.313333












      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                5.38  25.833333  74.283333
1          BARASNI  254530074280001                4.18  25.758333  74.466667
2          BIJOLIA  251012075192201                4.18  25.170000  75.322778
3           BORANI  254100075200001               14.99  25.683333  75.333333
4        Dahimatha  253140074180301                9.90  25.527778  74.300833
5           GAGEDA  255200074330001                5.39  25.866667  74.550000
6         Galodiya  251143074173901               20.80  25.195278  74.294167
7        GANGAPUR1  251300074153501                5.73  25.216667  74.259722
8       GULABPURA1  253820075065501                1.40  25.638889  75.115278
9         JAHAJPUR  253715075163001                6.10  25.620833  75.275000
10    KANCHAN-KALA  254520074542001                2.10  25.755556  74.905556
11          KOTARI  252350074533001                4.52  25.397222  74.891667
12         Ladpura  250915075071701                4.55  25.154167  75.121389
13     MANDAPIA RS  251610074381501                2.80  25.269444  74.637500
14        NANGPURA  252715074111501               23.38  25.454167  74.187500
15          PAROLI  253104075053001                2.45  25.517778  75.091667
16      RAILA ROAD  253800074360001                7.85  25.633333  74.600000
17          Raipur  252413074094001                5.60  25.403611  74.161111
18       SALAWATIA  250650075154001               19.60  25.113889  75.261111
19        SAWAIPUR  251825074520001               10.25  25.306944  74.866667
20          SOPURA  253615074540001                3.48  25.604167  74.900000
21         SUWANA1  252100074420001                2.90  25.350000  74.700000
22  Taswaria Khurd  253340074480001                9.05  25.561111  74.800000
23          TILOLI  253551074184801                0.30  25.597500  74.313333





Empty DataFrame
Columns: [station_name, station_id, water_level (in m), lat, long]
Index: []





      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                3.88  25.833333  74.283333
1          BARASNI  254530074280001                2.22  25.758333  74.466667
2          BIJOLIA  251012075192201                1.06  25.170000  75.322778
3           BORANI  254100075200001                1.77  25.683333  75.333333
4        Dahimatha  253140074180301                7.65  25.527778  74.300833
5          DEVARIA  251700074093001               17.90  25.283333  74.158333
6           GAGEDA  255200074330001                5.79  25.866667  74.550000
7         Galodiya  251143074173901               17.70  25.195278  74.294167
8        GANGAPUR1  251300074153501                4.82  25.216667  74.259722
9       GULABPURA1  253820075065501                0.10  25.638889  75.115278
10        JAHAJPUR  253715075163001                4.43  25.620833  75.275000
11    KANCHAN-KALA  254520074542001                0.63  25.755556  74.905556
12          KOTARI  252350074533001                1.41  25.397222  74.891667
13     MANDAPIA RS  251610074381501                2.50  25.269444  74.637500
14        NANGPURA  252715074111501               18.38  25.454167  74.187500
15          PAROLI  253104075053001                1.78  25.517778  75.091667
16      RAILA ROAD  253800074360001                5.65  25.633333  74.600000
17          Raipur  252413074094001                3.00  25.403611  74.161111
18       SALAWATIA  250650075154001                2.05  25.113889  75.261111
19        SAWAIPUR  251825074520001                6.40  25.306944  74.866667
20          SOPURA  253615074540001                2.93  25.604167  74.900000
21         SUWANA1  252100074420001                0.60  25.350000  74.700000
22  Taswaria Khurd  253340074480001                4.25  25.561111  74.800000
23          TILOLI  253551074184801                0.95  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                3.08  25.833333  74.283333
1          BARASNI  254530074280001                1.38  25.758333  74.466667
2          BIJOLIA  251012075192201                3.75  25.170000  75.322778
3           BORANI  254100075200001               11.84  25.683333  75.333333
4        Dahimatha  253140074180301                6.75  25.527778  74.300833
5          DEVARIA  251700074093001                9.80  25.283333  74.158333
6           GAGEDA  255200074330001                3.63  25.866667  74.550000
7         Galodiya  251143074173901                8.50  25.195278  74.294167
8        GANGAPUR1  251300074153501                4.36  25.216667  74.259722
9       GULABPURA1  253820075065501                3.50  25.638889  75.115278
10        JAHAJPUR  253715075163001               10.80  25.620833  75.275000
11    KANCHAN-KALA  254520074542001                0.90  25.755556  74.905556
12         Ladpura  250915075071701                3.95  25.154167  75.121389
13     MANDAPIA RS  251610074381501                5.60  25.269444  74.637500
14        NANGPURA  252715074111501               19.88  25.454167  74.187500
15          PAROLI  253104075053001                1.70  25.517778  75.091667
16      RAILA ROAD  253800074360001                4.20  25.633333  74.600000
17          Raipur  252413074094001                1.80  25.403611  74.161111
18       SALAWATIA  250650075154001               21.48  25.113889  75.261111
19        SAWAIPUR  251825074520001                6.20  25.306944  74.866667
20          SOPURA  253615074540001                2.23  25.604167  74.900000
21         SUWANA1  252100074420001                3.55  25.350000  74.700000
22  Taswaria Khurd  253340074480001                6.09  25.561111  74.800000
23          TILOLI  253551074184801                0.05  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                4.11  25.833333  74.283333
1          BARASNI  254530074280001                2.59  25.758333  74.466667
2          BIJOLIA  251012075192201                3.00  25.170000  75.322778
3           BORANI  254100075200001                9.53  25.683333  75.333333
4        Dahimatha  253140074180301                8.10  25.527778  74.300833
5          DEVARIA  251700074093001               13.85  25.283333  74.158333
6           GAGEDA  255200074330001                4.94  25.866667  74.550000
7         Galodiya  251143074173901               15.67  25.195278  74.294167
8        GANGAPUR1  251300074153501                4.97  25.216667  74.259722
9       GULABPURA1  253820075065501                1.67  25.638889  75.115278
10        JAHAJPUR  253715075163001                7.11  25.620833  75.275000
11    KANCHAN-KALA  254520074542001                1.21  25.755556  74.905556
12          KOTARI  252350074533001                2.97  25.397222  74.891667
13         Ladpura  250915075071701                4.25  25.154167  75.121389
14     MANDAPIA RS  251610074381501                3.63  25.269444  74.637500
15        NANGPURA  252715074111501               20.55  25.454167  74.187500
16          PAROLI  253104075053001                1.98  25.517778  75.091667
17      RAILA ROAD  253800074360001                5.90  25.633333  74.600000
18          Raipur  252413074094001                3.47  25.403611  74.161111
19       SALAWATIA  250650075154001               14.38  25.113889  75.261111
20        SAWAIPUR  251825074520001                7.62  25.306944  74.866667
21          SOPURA  253615074540001                2.88  25.604167  74.900000
22         SUWANA1  252100074420001                2.35  25.350000  74.700000
23  Taswaria Khurd  253340074480001                6.46  25.561111  74.800000
24          TILOLI  253551074184801                0.43  25.597500  74.313333












