      station_name       station_id  water_level (in m)        lat       long
12       HAMIRGARH  251050074345001               18.49  25.180556  74.580556
13        JAHAJPUR  253715075163001               17.67  25.620833  75.275000
14      JIWANLIYAN  253056074332801               15.63  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                3.25  25.755556  74.905556
16          Karera  253100074160001               22.25  25.516667  74.266667
17          KOTARI  252350074533001               11.67  25.397222  74.891667
18     MANDALGARH1  251700075053801               18.10  25.283333  75.093889
19     MANDAPIA RS  251610074381501                9.90  25.269444  74.637500
20        NANGPURA  252715074111501               23.08  25.454167  74.187500
21        Parasoli  254650074203001               27.30  25.780556  74.341667
22          PAROLI  253104075053001                3.12  25.517778  75.091667
23       PITAKHERA  252226074063001                9.06  25.373889  74.108333
24      RAILA ROAD  253800074360001                8.97  25.633333  74.600000
25       SALAWATIA  250650075154001               20.36  25.113889  75.261111
26        SAWAIPUR  251825074520001               19.22  25.306944  74.866667
27          SOPURA  253615074540001                9.34  25.604167  74.900000
28  Taswaria Khurd  253340074480001               12.70  25.561111  74.800000
29          TILOLI  253551074184801               10.35  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.85  25.720833  75.354167
1     BANERAMATAJI  252915074420001               11.04  25.487500  74.700000
2            BIGOD  251440075023001                2.10  25.244444  75.041667
3          BIJOLIA  251012075192201               13.07  25.170000  75.322778
4           BORANI  254100075200001                9.33  25.683333  75.333333
5       Daulatgarh  253800074164501                3.10  25.633333  74.279167
6          DEVARIA  251700074093001                9.30  25.283333  74.158333
7        GULABPURA  255400074410001                8.21  25.900000  74.683333
8       GULABPURA1  253820075065501                7.96  25.638889  75.115278
9        HAMIRGARH  251050074345001                9.49  25.180556  74.580556
10        JAHAJPUR  253715075163001               13.54  25.620833  75.275000
11      JIWANLIYAN  253056074332801               14.40  25.515556  74.557778
12    KANCHAN-KALA  254520074542001                1.74  25.755556  74.905556
13          Karera  253100074160001               19.11  25.516667  74.266667
14        KODUKOTA  252230074463001               18.52  25.375000  74.775000
15          KOTARI  252350074533001                8.68  25.397222  74.891667
16     MANDALGARH1  251700075053801               10.50  25.283333  75.093889
17     MANDAPIA RS  251610074381501                2.74  25.269444  74.637500
18        NANGPURA  252715074111501               17.68  25.454167  74.187500
19        Parasoli  254650074203001               25.15  25.780556  74.341667
20          PAROLI  253104075053001                0.85  25.517778  75.091667
21       PITAKHERA  252226074063001                8.63  25.373889  74.108333
22       SALAWATIA  250650075154001               16.73  25.113889  75.261111
23        SAWAIPUR  251825074520001                7.45  25.306944  74.866667
24          SOPURA  253615074540001                7.97  25.604167  74.900000
25  Taswaria Khurd  253340074480001                9.82  25.561111  74.800000





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                3.02  25.720833  75.354167
1           BADNOR  255000074170001               27.68  25.833333  74.283333
2     BANERAMATAJI  252915074420001               13.79  25.487500  74.700000
3          BARASNI  254530074280001               11.48  25.758333  74.466667
